"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"97036","MARYLHURST, OR",,733,3151,12828,16
"97037","MAUPIN, OR",,133,554,3236,32
"97038","MOLALLA, OR",,2576,13681,57361,295
"97039","MORO, OR",,26,60,259,10
"97040","MOSIER, OR",,39,169,682,23
"97041","MOUNT HOOD PARKDALE, OR",,887,2810,6814,52
"97042","MULINO, OR",,212,1041,4528,59
"97044","ODELL, OR","C",0,0,0,23
"97045","OREGON CITY, OR",,10228,67647,286438,1167
"97048","RAINIER, OR",,968,11532,35259,106
"97049","RHODODENDRON, OR",,96,275,1448,24
"97050","RUFUS, OR",,157,373,1708,11
"97051","SAINT HELENS, OR",,3773,22513,101240,312
"97053","WARREN, OR",,143,545,2538,35
"97054","DEER ISLAND, OR",,50,309,1371,11
"97055","SANDY, OR",,2854,14659,62787,384
"97056","SCAPPOOSE, OR",,1721,7873,33915,188
"97057","SHANIKO, OR",,6,26,135,5
"97058","THE DALLES, OR",,6362,36019,156059,606
"97060","TROUTDALE, OR",,4714,29300,131938,378
"97062","TUALATIN, OR",,17960,160224,679440,966
"97063","TYGH VALLEY, OR",,88,405,2004,33
"97064","VERNONIA, OR",,333,2220,10063,66
"97065","WASCO, OR",,95,362,1385,20
"97067","WELCHES, OR",,486,1597,7711,68
"97068","WEST LINN, OR",,3514,20381,93902,591
"97070","WILSONVILLE, OR",,18245,172388,717209,690
"97071","WOODBURN, OR",,7287,39249,178635,500
"97075","BEAVERTON, OR",,814,8200,35097,79
"97076","BEAVERTON, OR","F",0,0,0,4
"97077","BEAVERTON, OR","H",0,0,0,7
"97080","GRESHAM, OR",,2783,14773,64657,432
"97101","AMITY, OR",,330,1136,4739,60
"97102","ARCH CAPE, OR",,7,41,143,5
"97103","ASTORIA, OR",,4891,25657,110870,595
"97106","BANKS, OR",,602,2968,13289,102
"97107","BAY CITY, OR",,351,2152,8907,16
"97108","BEAVER, OR",,26,104,388,9
"97109","BUXTON, OR",,61,447,1933,8
"97110","CANNON BEACH, OR",,786,3638,16467,125
"97111","CARLTON, OR",,387,2905,11827,57
"97112","CLOVERDALE, OR",,145,600,2526,39
"97113","CORNELIUS, OR",,2413,14822,65349,212
"97114","DAYTON, OR",,366,1723,8405,59
"97115","DUNDEE, OR",,400,2040,8848,57
"97116","FOREST GROVE, OR",,7265,43222,189808,437
"97117","GALES CREEK, OR",,72,205,1187,21
"97118","GARIBALDI, OR",,213,1175,6323,34
"97119","GASTON, OR",,578,3901,16758,57
"97121","HAMMOND, OR",,122,415,1881,23
"97122","HEBO, OR",,169,892,3549,11
"97123","HILLSBORO, OR",,15948,199270,667685,1126
"97124","HILLSBORO, OR",,23544,492536,1920008,793
"97125","MANNING, OR",,5,11,72,3
"97127","LAFAYETTE, OR",,122,586,2284,30
"97128","MCMINNVILLE, OR",,12579,70231,294692,924
"97130","MANZANITA, OR",,232,768,3942,46
"97131","NEHALEM, OR",,151,787,3044,42
"97132","NEWBERG, OR",,8376,56407,229458,629
"97133","NORTH PLAINS, OR",,742,5930,28115,88
"97134","OCEANSIDE, OR",,48,215,1045,11
"97135","PACIFIC CITY, OR",,272,1016,4838,45
"97136","ROCKAWAY BEACH, OR",,277,795,3744,41
"97137","SAINT PAUL, OR",,180,1162,5141,26
"97138","SEASIDE, OR",,3460,14194,63094,435
"97140","SHERWOOD, OR",,4124,28916,127758,442
"97141","TILLAMOOK, OR",,4375,23578,99843,357
"97143","NETARTS, OR",,15,32,190,7
"97144","TIMBER, OR","A",0,0,0,1
"97145","TOLOVANA PARK, OR",,123,459,2503,7
"97146","WARRENTON, OR",,2025,11758,49408,166
"97147","WHEELER, OR",,97,344,1673,15
"97148","YAMHILL, OR",,338,1587,7561,60
"97149","NESKOWIN, OR",,83,296,1701,20
"97201","PORTLAND, OR",,46497,496713,2038264,1719
"97202","PORTLAND, OR",,16123,129461,520036,1078
"97203","PORTLAND, OR",,12793,100070,400712,446
"97204","PORTLAND, OR",,29154,384492,1588847,1520
"97205","PORTLAND, OR",,18724,185899,802063,1099
"97206","PORTLAND, OR",,7544,44134,197274,660
"97207","PORTLAND, OR",,2637,23834,114438,72
"97208","PORTLAND, OR",,3827,40901,143272,104
"97209","PORTLAND, OR",,17864,163119,676575,1074
"97210","PORTLAND, OR",,22198,205425,846655,996
"97211","PORTLAND, OR",,10749,85751,351154,578
"97212","PORTLAND, OR",,3907,29201,126677,453
"97213","PORTLAND, OR",,13647,103395,444514,812
"97214","PORTLAND, OR",,17448,116082,507610,1410
"97215","PORTLAND, OR",,2774,13479,58927,312
"97216","PORTLAND, OR",,7346,46967,199517,469
"97217","PORTLAND, OR",,27684,259879,1054209,919
"97218","PORTLAND, OR",,10929,83058,341300,425
"97219","PORTLAND, OR",,10331,62693,269888,999
"97220","PORTLAND, OR",,18984,122652,501277,996
"97221","PORTLAND, OR",,3133,22368,101411,350
"97222","PORTLAND, OR",,13921,105882,419017,849
"97223","PORTLAND, OR",,31397,268462,1133090,1967
"97224","PORTLAND, OR",,12924,121963,505352,807
"97225","PORTLAND, OR",,11959,105467,455323,849
"97227","PORTLAND, OR",,8337,106873,405971,256
"97228","PORTLAND, OR",,117,1017,4452,26
"97229","PORTLAND, OR",,6998,54904,242293,684
"97230","PORTLAND, OR",,20174,164324,699560,873
"97231","PORTLAND, OR",,877,8385,37033,100
"97232","PORTLAND, OR",,20663,174148,619712,1154
"97233","PORTLAND, OR",,4399,21864,94600,442
"97236","PORTLAND, OR",,3536,15907,68452,487
"97238","PORTLAND, OR",,380,2574,10252,27
"97240","PORTLAND, OR",,19,101,617,9
"97242","PORTLAND, OR",,264,2149,9488,18
"97255","PORTLAND, OR",,9,27,133,3
"97258","PORTLAND, OR",,887,16536,67608,85
"97266","PORTLAND, OR",,12596,61701,267992,966
"97267","PORTLAND, OR",,5804,31476,133046,546
"97268","PORTLAND, OR",,127,800,3382,37
"97269","PORTLAND, OR",,404,2837,10763,46
"97280","PORTLAND, OR",,226,1494,5740,60
"97281","PORTLAND, OR",,659,4370,22159,96
"97282","PORTLAND, OR",,322,2875,12282,21
"97283","PORTLAND, OR",,184,1750,7161,18
"97286","PORTLAND, OR",,45,138,630,17
"97290","PORTLAND, OR",,90,396,2440,36
"97291","PORTLAND, OR",,48,392,1880,21
"97292","PORTLAND, OR",,524,3934,16515,68
"97293","PORTLAND, OR",,336,2258,9951,33
"97294","PORTLAND, OR",,1338,10331,42647,78
"97296","PORTLAND, OR",,754,10059,57549,29
"97298","PORTLAND, OR",,107,889,3587,29
"97301","SALEM, OR",,26865,154663,643006,1771
"97302","SALEM, OR",,16984,104531,442696,1516
"97303","SALEM, OR",,13672,85800,378054,1075
"97304","SALEM, OR",,3465,18036,79756,404
"97305","SALEM, OR",,7143,33576,150019,562
"97306","SALEM, OR",,2065,10900,48321,250
"97307","KEIZER, OR",,251,1125,5499,61
"97308","SALEM, OR",,580,3857,16937,85
"97309","SALEM, OR",,2862,14575,66087,177
"97310","SALEM, OR",,130,492,2191,14
"97312","SALEM, OR","A",0,0,0,1
"97313","SALEM, OR","H",0,0,0,3
"97314","SALEM, OR","A",0,0,0,1
"97321","ALBANY, OR",,21119,143417,596120,1306
"97324","ALSEA, OR",,83,302,1262,23
"97325","AUMSVILLE, OR",,913,6294,26351,86
"97326","BLODGETT, OR",,30,145,545,12
"97327","BROWNSVILLE, OR",,258,1137,4701,52
"97329","CASCADIA, OR","B",0,0,0,3
"97330","CORVALLIS, OR",,17952,150599,622125,1065
"97331","CORVALLIS, OR",,329,888,3710,15
"97333","CORVALLIS, OR",,5110,30650,124832,487
"97335","CRABTREE, OR",,23,97,435,5
"97336","CRAWFORDSVILLE, OR","A",0,0,0,1
"97338","DALLAS, OR",,4458,27740,108201,359
"97339","CORVALLIS, OR",,839,5528,23873,123
"97341","DEPOE BAY, OR",,360,999,4784,86
"97342","DETROIT, OR",,127,330,1505,16
"97343","EDDYVILLE, OR","A",0,0,0,1
"97344","FALLS CITY, OR",,119,347,2002,7
"97345","FOSTER, OR","C",0,0,0,9
"97346","GATES, OR",,43,179,1002,14
"97347","GRAND RONDE, OR",,301,1711,6928,26
