"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"13352","HINCKLEY, NY","A","D",0,"D",0,"D",0,1,"HINCKLEY","NY","ONEIDA"
"13353","HOFFMEISTER, NY","A","D",0,"D",0,"D",0,1,"HOFFMEISTER","NY","HAMILTON"
"13354","HOLLAND PATENT, NY",,"H",194,"G",1464,"G",5464,37,"HOLLAND PATENT","NY","ONEIDA"
"13355","HUBBARDSVILLE, NY",,"G",10,"H",71,"G",288,5,"HUBBARDSVILLE","NY","MADISON"
"13357","ILION, NY",,"H",2434,"S",0,"H",87440,127,"ILION","NY","HERKIMER"
"13360","INLET, NY",,"H",89,"G",631,"G",3367,34,"INLET","NY","HAMILTON"
"13361","JORDANVILLE, NY",,"G",62,"G",313,"G",1483,6,"JORDANVILLE","NY","HERKIMER"
"13362","KNOXBORO, NY","B","D",0,"D",0,"D",0,3,"KNOXBORO","NY","ONEIDA"
"13363","LEE CENTER, NY",,"H",129,"H",622,"H",2798,18,"LEE CENTER","NY","ONEIDA"
"13364","LEONARDSVILLE, NY","A","D",0,"D",0,"D",0,2,"LEONARDSVILLE","NY","MADISON"
"13365","LITTLE FALLS, NY",,"G",2073,"G",16523,"G",69553,143,"LITTLE FALLS","NY","HERKIMER"
"13367","LOWVILLE, NY",,"G",3093,"G",28804,"G",112566,229,"LOWVILLE","NY","LEWIS"
"13368","LYONS FALLS, NY",,"G",340,"H",3210,"H",13361,34,"LYONS FALLS","NY","LEWIS"
"13401","MC CONNELLSVILLE, NY","C","D",0,"D",0,"D",0,8,"MC CONNELLSVILLE","NY","ONEIDA"
"13402","MADISON, NY",,"G",131,"G",752,"G",3693,25,"MADISON","NY","MADISON"
"13403","MARCY, NY",,"G",3210,"H",42179,"G",152241,134,"MARCY","NY","ONEIDA"
"13404","MARTINSBURG, NY","A","D",0,"D",0,"D",0,5,"MARTINSBURG","NY","LEWIS"
"13406","MIDDLEVILLE, NY",,"H",40,"H",260,"H",941,8,"MIDDLEVILLE","NY","HERKIMER"
"13407","MOHAWK, NY",,"H",480,"H",3070,"H",13329,67,"MOHAWK","NY","HERKIMER"
"13408","MORRISVILLE, NY",,"H",757,"H",4374,"H",18632,63,"MORRISVILLE","NY","MADISON"
"13409","MUNNSVILLE, NY","E","D",0,"D",0,"D",0,30,"MUNNSVILLE","NY","MADISON"
"13410","NELLISTON, NY",,"G",180,"G",1236,"G",5175,11,"NELLISTON","NY","MONTGOMERY"
"13411","NEW BERLIN, NY","F","D",0,"D",0,"D",0,45,"NEW BERLIN","NY","CHENANGO"
"13413","NEW HARTFORD, NY",,"G",14252,"G",132353,"G",526527,709,"NEW HARTFORD","NY","ONEIDA"
"13416","NEWPORT, NY",,"H",213,"H",2422,"H",11239,35,"NEWPORT","NY","HERKIMER"
"13417","NEW YORK MILLS, NY",,"G",999,"G",7600,"G",34248,76,"NEW YORK MILLS","NY","ONEIDA"
"13418","NORTH BROOKFIELD, NY","A","D",0,"D",0,"D",0,1,"NORTH BROOKFIELD","NY","MADISON"
"13420","OLD FORGE, NY",,"G",584,"G",4087,"G",20124,118,"OLD FORGE","NY","HERKIMER"
"13421","ONEIDA, NY",,"G",4980,"G",41429,"G",162440,360,"ONEIDA","NY","MADISON"
"13424","ORISKANY, NY",,"H",3329,"H",54637,"H",202162,71,"ORISKANY","NY","ONEIDA"
"13425","ORISKANY FALLS, NY",,"G",128,"H",823,"H",4543,26,"ORISKANY FALLS","NY","ONEIDA"
"13426","ORWELL, NY","A","S",0,"S",0,"H",80,5,"ORWELL","NY","OSWEGO"
"13428","PALATINE BRIDGE, NY",,"H",583,"H",3333,"H",13793,47,"PALATINE BRIDGE","NY","MONTGOMERY"
"13431","POLAND, NY",,"H",122,"H",853,"H",4819,33,"POLAND","NY","HERKIMER"
"13433","PORT LEYDEN, NY",,"G",70,"H",364,"H",1966,20,"PORT LEYDEN","NY","LEWIS"
"13435","PROSPECT, NY",,"G",22,"S",0,"H",370,7,"PROSPECT","NY","ONEIDA"
"13436","RAQUETTE LAKE, NY",,"H",49,"H",365,"H",1666,10,"RAQUETTE LAKE","NY","HAMILTON"
"13437","REDFIELD, NY",,"H",27,"H",80,"H",316,8,"REDFIELD","NY","OSWEGO"
"13438","REMSEN, NY",,"G",110,"G",564,"G",2820,40,"REMSEN","NY","ONEIDA"
"13439","RICHFIELD SPRINGS, NY",,"G",469,"G",2501,"G",10885,75,"RICHFIELD SPRINGS","NY","OTSEGO"
"13440","ROME, NY",,"G",9759,"G",75535,"G",316837,719,"ROME","NY","ONEIDA"
"13441","ROME, NY",,"H",2678,"H",34032,"H",137078,80,"ROME","NY","ONEIDA"
"13442","ROME, NY",,"H",286,"S",0,"H",16479,14,"ROME","NY","ONEIDA"
"13450","ROSEBOOM, NY","A","S",0,"S",0,"H",138,4,"ROSEBOOM","NY","OTSEGO"
"13452","SAINT JOHNSVILLE, NY",,"G",657,"G",4218,"G",18108,65,"SAINT JOHNSVILLE","NY","MONTGOMERY"
"13454","SALISBURY CENTER, NY","B","D",0,"D",0,"D",0,8,"SALISBURY CENTER","NY","HERKIMER"
"13455","SANGERFIELD, NY",,"H",216,"G",1933,"H",10630,9,"SANGERFIELD","NY","ONEIDA"
"13456","SAUQUOIT, NY",,"G",255,"H",2005,"H",10337,44,"SAUQUOIT","NY","ONEIDA"
"13457","SCHUYLER LAKE, NY","A","D",0,"D",0,"D",0,3,"SCHUYLER LAKE","NY","OTSEGO"
"13459","SHARON SPRINGS, NY","F","D",0,"D",0,"D",0,41,"SHARON SPRINGS","NY","SCHOHARIE"
"13460","SHERBURNE, NY",,"G",1176,"G",10415,"G",41576,86,"SHERBURNE","NY","CHENANGO"
"13461","SHERRILL, NY",,"H",410,"H",3392,"H",14243,58,"SHERRILL","NY","ONEIDA"
"13464","SMYRNA, NY",,"G",47,"H",457,"H",1620,8,"SMYRNA","NY","CHENANGO"
"13465","SOLSVILLE, NY","A","D",0,"D",0,"D",0,1,"SOLSVILLE","NY","MADISON"
"13468","SPRINGFIELD CENTER, NY",,"G",21,"G",132,"G",656,8,"SPRINGFIELD CENTER","NY","OTSEGO"
"13469","STITTVILLE, NY",,"H",43,"G",200,"G",1059,11,"STITTVILLE","NY","ONEIDA"
"13470","STRATFORD, NY","B","D",0,"D",0,"D",0,2,"STRATFORD","NY","FULTON"
"13471","TABERG, NY",,"H",144,"G",728,"G",3561,28,"TABERG","NY","ONEIDA"
"13472","THENDARA, NY",,"G",52,"G",240,"H",1582,22,"THENDARA","NY","HERKIMER"
"13473","TURIN, NY",,"H",121,"H",478,"H",1616,20,"TURIN","NY","LEWIS"
"13475","VAN HORNESVILLE, NY","A","D",0,"D",0,"D",0,3,"VAN HORNESVILLE","NY","HERKIMER"
"13476","VERNON, NY",,"G",821,"G",6796,"G",30983,70,"VERNON","NY","ONEIDA"
"13477","VERNON CENTER, NY","B","S",0,"H",415,"H",2053,13,"VERNON CENTER","NY","ONEIDA"
"13478","VERONA, NY","I","D",0,"D",0,"D",0,53,"VERONA","NY","ONEIDA"
"13479","WASHINGTON MILLS, NY",,"H",75,"H",280,"H",1210,6,"WASHINGTON MILLS","NY","ONEIDA"
"13480","WATERVILLE, NY",,"G",599,"G",5282,"G",20114,62,"WATERVILLE","NY","ONEIDA"
"13482","WEST BURLINGTON, NY","A","D",0,"D",0,"D",0,1,"WEST BURLINGTON","NY","OTSEGO"
"13483","WESTDALE, NY","A","D",0,"D",0,"D",0,1,"WESTDALE","NY","ONEIDA"
"13484","WEST EATON, NY",,"G",8,"S",0,"G",99,3,"WEST EATON","NY","MADISON"
"13485","WEST EDMESTON, NY","A","S",0,"G",47,"G",334,6,"WEST EDMESTON","NY","MADISON"
"13486","WESTERNVILLE, NY",,"G",102,"G",380,"H",1316,15,"WESTERNVILLE","NY","ONEIDA"
"13488","WESTFORD, NY","A","D",0,"D",0,"D",0,1,"WESTFORD","NY","OTSEGO"
"13489","WEST LEYDEN, NY","B","S",0,"H",135,"G",533,8,"WEST LEYDEN","NY","LEWIS"
"13490","WESTMORELAND, NY","F","S",0,"S",0,"H",19085,45,"WESTMORELAND","NY","ONEIDA"
"13491","WEST WINFIELD, NY",,"H",337,"G",3659,"G",15166,45,"WEST WINFIELD","NY","HERKIMER"
